MARKET,spend_domain,year_month,spend_amount,trans_count,brand_count
Boston,Lodging,2024-10,1116392.5178,4798.8225999999995,9
Boston,Energy,2024-11,36296145.94390002,855267.1917999999,45
Boston,Food,2024-11,1418865.5488000002,70050.4688,21
Boston,Lodging,2024-11,945522.1377000001,3995.3780000000006,8
Boston,Energy,2024-12,42650078.52479998,918606.3527999995,46
Boston,Food,2024-12,1429363.5658,68720.23730000001,23
Boston,Lodging,2024-12,1055530.6375000002,3876.0985,8
Dallas / Houston,Energy,2020-01,167516131.6171,3844033.748300001,50
Dallas / Houston,Food,2020-01,31005753.994399995,2319172.3088,22
Dallas / Houston,Lodging,2020-01,3567331.8108,21767.376599999996,8
Dallas / Houston,Energy,2020-02,164631005.75650012,3753167.1809999994,51
Dallas / Houston,Food,2020-02,32730067.012900002,2371022.1928,22
Dallas / Houston,Lodging,2020-02,3774748.1466,22019.559400000002,8
Dallas / Houston,Energy,2020-03,176640604.4495,3805962.9026000006,49
Dallas / Houston,Food,2020-03,28297764.1571,1909137.9602000003,22
Dallas / Houston,Lodging,2020-03,2978310.0379000003,18038.690400000003,8
Dallas / Houston,Energy,2020-04,145503667.89909995,2958790.4732999993,52
Dallas / Houston,Food,2020-04,21170494.219900005,1267898.0117,21
Dallas / Houston,Lodging,2020-04,920179.5815000001,5210.1612000000005,8
Dallas / Houston,Energy,2020-05,172211462.95589995,3683416.3595000003,50
Dallas / Houston,Food,2020-05,28962738.9317,1787290.6498999996,20
Dallas / Houston,Lodging,2020-05,1873275.9504,11922.3289,8
Dallas / Houston,Energy,2020-06,172661188.93359998,3908582.3045999985,51
Dallas / Houston,Food,2020-06,30163258.227800004,1972519.9516999996,21
Dallas / Houston,Lodging,2020-06,3221193.9241999993,18731.0482,8
Dallas / Houston,Energy,2020-07,179681388.31059998,4082873.0281999996,51
Dallas / Houston,Food,2020-07,32174040.262699995,2078149.5175000003,21
Dallas / Houston,Lodging,2020-07,3543585.864899999,21167.107799999998,8
Dallas / Houston,Energy,2020-08,188270264.9694,4166390.7788999993,54
Dallas / Houston,Food,2020-08,34340172.4356,2252028.023,22
Dallas / Houston,Lodging,2020-08,4154533.401,24552.9154,8
Dallas / Houston,Energy,2020-09,177250532.14250004,3948802.6509999987,53
Dallas / Houston,Food,2020-09,34427112.390499994,2292523.2218000004,22
Dallas / Houston,Lodging,2020-09,3605545.6526999995,20704.0316,8
Dallas / Houston,Energy,2020-10,186164800.20709997,4215105.378400001,51
Dallas / Houston,Food,2020-10,37317004.9197,2422716.261,21
Dallas / Houston,Lodging,2020-10,3821855.8313999996,23999.759000000002,8
Dallas / Houston,Energy,2020-11,189013199.0858999,3993246.0148999994,51
Dallas / Houston,Food,2020-11,35823211.2013,2349581.1035,21
Dallas / Houston,Lodging,2020-11,3183372.3099999996,19948.7318,8
Dallas / Houston,Energy,2020-12,201337768.70189992,4075603.946500001,52
Dallas / Houston,Food,2020-12,36811254.4463,2243281.6224,21
Dallas / Houston,Lodging,2020-12,3028470.1132000005,18901.294599999994,8
Dallas / Houston,Energy,2021-01,189377256.30749997,3894780.9536999995,53
Dallas / Houston,Food,2021-01,32981896.49740001,2128525.5893,21
Dallas / Houston,Lodging,2021-01,2629918.4101,17784.354000000003,8
Dallas / Houston,Energy,2021-02,173405818.96720004,3375383.7685000016,53
Dallas / Houston,Food,2021-02,27472872.243400004,1721656.4783,22
Dallas / Houston,Lodging,2021-02,3113234.6409,18980.2244,8
Dallas / Houston,Energy,2021-03,216903326.71820003,4366063.231000001,52
Dallas / Houston,Food,2021-03,38643247.6958,2525583.5259000007,21
Dallas / Houston,Lodging,2021-03,5162215.9528,28724.0261,8
Dallas / Houston,Energy,2021-04,211349479.9106999,4200415.591,53
Dallas / Houston,Food,2021-04,38359352.1388,2480013.6733,22
Dallas / Houston,Lodging,2021-04,4971696.6835,26570.180699999997,8
